iter	MultiClass
0	2.493480881
1	2.1325338
2	1.818993125
3	1.570063771
4	1.380053439
5	1.244133451
6	1.128084087
7	1.031703492
8	0.9435584954
9	0.8596186486
10	0.7829589485
11	0.7180675243
12	0.6573506481
13	0.6111814992
14	0.5704232025
15	0.5347864149
16	0.4948469667
17	0.4655626151
18	0.4370559286
19	0.4095431478
20	0.3851492326
21	0.3609282566
22	0.3404155005
23	0.3216919903
24	0.3040445201
25	0.2885313492
26	0.2764411574
27	0.2612524756
28	0.2495662648
29	0.2363068706
30	0.2273847315
31	0.215681826
32	0.2059451555
33	0.1982032067
34	0.191103924
35	0.18326651
36	0.1763433298
37	0.1690244299
38	0.1637306915
39	0.1573231071
40	0.1523080819
41	0.1470847318
42	0.1414953217
43	0.1365933035
44	0.1319799401
45	0.1277654426
46	0.1234502669
47	0.1201704107
48	0.1166872842
49	0.11342379
50	0.1107786962
51	0.1074967005
52	0.1046582671
53	0.101341381
54	0.09865007386
55	0.09676082562
56	0.09419521409
57	0.09208751785
58	0.0902456742
59	0.08757954617
60	0.08558847955
61	0.08340690382
62	0.08193343495
63	0.08058959473
64	0.07862064718
65	0.07668404563
66	0.07535826174
67	0.07400477532
68	0.07214110233
69	0.07097760886
70	0.06998541967
71	0.0690601034
72	0.06753562222
73	0.06648794213
74	0.06533749841
75	0.06412192756
76	0.06306601999
77	0.06204728291
78	0.06086537908
79	0.0599187796
80	0.05881173385
81	0.05781046923
82	0.05707528581
83	0.05635667359
84	0.05549006241
85	0.05475340992
86	0.05387450917
87	0.05315255315
88	0.05255329421
89	0.05176197749
90	0.05107497682
91	0.05039733957
92	0.04985227337
93	0.04919856081
94	0.04826564939
95	0.04794049483
96	0.04728567276
97	0.04673253818
98	0.04610103195
99	0.04555321214
100	0.04492040085
101	0.04443218111
102	0.04392231452
103	0.04344818024
104	0.04267075482
105	0.04223091057
106	0.04181963977
107	0.04146328926
108	0.04093943117
109	0.04049212227
110	0.03992781033
111	0.03959813688
112	0.03894779699
113	0.03859099853
114	0.03818830787
115	0.03769447732
116	0.03734948462
117	0.03694622216
118	0.03667098885
119	0.03623701917
120	0.0358435498
121	0.03553412064
122	0.03527691653
123	0.03474270623
124	0.03449234279
125	0.03417334803
126	0.03382635309
127	0.03358555676
128	0.03322205344
129	0.03272004966
130	0.03246098885
131	0.0322111935
132	0.03196220719
133	0.03163192692
134	0.03138387408
135	0.03108842372
136	0.03089985369
137	0.03069183722
138	0.03044921322
139	0.03021650525
140	0.03009024958
141	0.02986958967
142	0.02968463199
143	0.02950907226
144	0.02927475464
145	0.02905330325
146	0.02880012753
147	0.02849511845
148	0.02826061819
149	0.02802172373
150	0.02785901508
151	0.02752754466
152	0.02730765751
153	0.02709562696
154	0.02686779107
155	0.02666441889
156	0.02648311393
157	0.02626746079
158	0.02609811437
159	0.02586881272
160	0.02568198889
161	0.02550064137
162	0.02535409365
163	0.02514902242
164	0.02501858231
165	0.02479925809
166	0.02463164454
167	0.02444117009
168	0.02430879271
169	0.02413101186
170	0.02391778241
171	0.02374296331
172	0.02348253831
173	0.02332655084
174	0.02316152783
175	0.02300022599
176	0.02289491542
177	0.02276141438
178	0.0225901378
179	0.0224574768
180	0.02228131698
181	0.02213440553
182	0.02202806116
183	0.02189117653
184	0.02178783576
185	0.02167424504
186	0.02149892745
187	0.02133276774
188	0.02122283128
189	0.02107443956
190	0.02095132735
191	0.02086651695
192	0.0207818283
193	0.02062582967
194	0.02053595788
195	0.02045227726
196	0.02030939751
197	0.02018773045
198	0.02005554848
199	0.01988192207
